azure_cost_id,week_start,service,amount_usd,amount_chf,currency,settlement_status,source
AZ-2026-06-29-AzureCognit,2026-06-29,Azure Cognitive Search,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-AzureCognit,2026-07-06,Azure Cognitive Search,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-13-AzureCognit,2026-07-13,Azure Cognitive Search,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-20-AzureCognit,2026-07-20,Azure Cognitive Search,12.43,10.94,USD,settled,ActualCost
AZ-2026-07-27-AzureCognit,2026-07-27,Azure Cognitive Search,16.13,14.19,USD,provisional,ActualCost
AZ-2026-06-29-VirtualNetw,2026-06-29,Virtual Network,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-VirtualNetw,2026-07-06,Virtual Network,0.73,0.64,USD,settled,ActualCost
AZ-2026-07-13-VirtualNetw,2026-07-13,Virtual Network,3.76,3.31,USD,settled,ActualCost
AZ-2026-07-20-VirtualNetw,2026-07-20,Virtual Network,7.02,6.18,USD,settled,ActualCost
AZ-2026-07-27-VirtualNetw,2026-07-27,Virtual Network,1.44,1.27,USD,provisional,ActualCost
AZ-2026-06-29-LoadBalance,2026-06-29,Load Balancer,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-LoadBalance,2026-07-06,Load Balancer,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-13-LoadBalance,2026-07-13,Load Balancer,3.42,3.01,USD,settled,ActualCost
AZ-2026-07-20-LoadBalance,2026-07-20,Load Balancer,6.23,5.48,USD,settled,ActualCost
AZ-2026-07-27-LoadBalance,2026-07-27,Load Balancer,1.2,1.06,USD,provisional,ActualCost
AZ-2026-06-29-AzureAppSe,2026-06-29,Azure App Service,0.58,0.51,USD,settled,ActualCost
AZ-2026-07-06-AzureAppSe,2026-07-06,Azure App Service,2.04,1.8,USD,settled,ActualCost
AZ-2026-07-13-AzureAppSe,2026-07-13,Azure App Service,1.06,0.93,USD,settled,ActualCost
AZ-2026-07-20-AzureAppSe,2026-07-20,Azure App Service,1.65,1.45,USD,settled,ActualCost
AZ-2026-07-27-AzureAppSe,2026-07-27,Azure App Service,0.52,0.46,USD,provisional,ActualCost
AZ-2026-06-29-FoundryMode,2026-06-29,Foundry Models,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-FoundryMode,2026-07-06,Foundry Models,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-13-FoundryMode,2026-07-13,Foundry Models,0.14,0.12,USD,settled,ActualCost
AZ-2026-07-20-FoundryMode,2026-07-20,Foundry Models,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-27-FoundryMode,2026-07-27,Foundry Models,0.0,0.0,USD,provisional,ActualCost
AZ-2026-06-29-AzureDNS,2026-06-29,Azure DNS,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-AzureDNS,2026-07-06,Azure DNS,0.01,0.01,USD,settled,ActualCost
AZ-2026-07-13-AzureDNS,2026-07-13,Azure DNS,0.04,0.04,USD,settled,ActualCost
AZ-2026-07-20-AzureDNS,2026-07-20,Azure DNS,0.07,0.06,USD,settled,ActualCost
AZ-2026-07-27-AzureDNS,2026-07-27,Azure DNS,0.01,0.01,USD,provisional,ActualCost
AZ-2026-06-29-Storage,2026-06-29,Storage,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-06-Storage,2026-07-06,Storage,0.0,0.0,USD,settled,ActualCost
AZ-2026-07-13-Storage,2026-07-13,Storage,0.01,0.01,USD,settled,ActualCost
AZ-2026-07-20-Storage,2026-07-20,Storage,0.02,0.02,USD,settled,ActualCost
AZ-2026-07-27-Storage,2026-07-27,Storage,0.0,0.0,USD,provisional,ActualCost
