eligibility_id,employee_id,worker_gln,unit_id,tenant_id,is_eligible,limiting_factor,nearest_cert_expiry,computed_at
ELIG-00025,EMP-CN-0040,7601190000400,CN-D7-U05,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
ELIG-00026,EMP-CN-0040,7601190000400,CN-D7-U06,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-09-19,2026-07-19
ELIG-00027,EMP-CN-0041,7601190000417,CN-D7-U01,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00028,EMP-CN-0041,7601190000417,CN-D7-U02,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00029,EMP-CN-0041,7601190000417,CN-D7-U03,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00030,EMP-CN-0041,7601190000417,CN-D7-U04,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00031,EMP-CN-0041,7601190000417,CN-D7-U05,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00032,EMP-CN-0041,7601190000417,CN-D7-U06,CN,FALSE,unter Schwelle: SK-NDS-IPS,2026-10-15,2026-07-19
ELIG-00033,EMP-CN-0042,7601190000424,CN-D7-U01,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00034,EMP-CN-0042,7601190000424,CN-D7-U02,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00035,EMP-CN-0042,7601190000424,CN-D7-U03,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00036,EMP-CN-0042,7601190000424,CN-D7-U04,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00037,EMP-CN-0042,7601190000424,CN-D7-U05,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00038,EMP-CN-0042,7601190000424,CN-D7-U06,CN,FALSE,unter Schwelle: SK-VENT,2027-08-22,2026-07-19
ELIG-00039,EMP-CN-0043,7601190000431,CN-D7-U01,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00040,EMP-CN-0043,7601190000431,CN-D7-U02,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00041,EMP-CN-0043,7601190000431,CN-D7-U03,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00042,EMP-CN-0043,7601190000431,CN-D7-U04,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00043,EMP-CN-0043,7601190000431,CN-D7-U05,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00044,EMP-CN-0043,7601190000431,CN-D7-U06,CN,FALSE,unter Schwelle: SK-VENT,2026-11-27,2026-07-19
ELIG-00045,EMP-CN-0044,7601190000448,CN-D7-U01,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00046,EMP-CN-0044,7601190000448,CN-D7-U02,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00047,EMP-CN-0044,7601190000448,CN-D7-U03,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00048,EMP-CN-0044,7601190000448,CN-D7-U04,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00049,EMP-CN-0044,7601190000448,CN-D7-U05,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00050,EMP-CN-0044,7601190000448,CN-D7-U06,CN,FALSE,fehlt: SK-NDS-IPS,2027-08-05,2026-07-19
ELIG-00051,EMP-CN-0044,7601190000448,CN-D7-U08,CN,TRUE,,2027-08-05,2026-07-19
ELIG-00052,EMP-CN-0045,7601190000455,CN-D7-U01,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00053,EMP-CN-0045,7601190000455,CN-D7-U02,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00054,EMP-CN-0045,7601190000455,CN-D7-U03,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00055,EMP-CN-0045,7601190000455,CN-D7-U04,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00056,EMP-CN-0045,7601190000455,CN-D7-U05,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00057,EMP-CN-0045,7601190000455,CN-D7-U06,CN,FALSE,fehlt: SK-NDS-IPS,2026-08-13,2026-07-19
ELIG-00058,EMP-CN-0045,7601190000455,CN-D7-U08,CN,FALSE,unter Schwelle: SK-ACLS,2026-08-13,2026-07-19
ELIG-00059,EMP-CN-0046,7601190000462,CN-D7-U07,CN,TRUE,,2028-06-23,2026-07-19
ELIG-00060,EMP-CN-0047,7601190000479,CN-D7-U07,CN,FALSE,unter Schwelle: SK-ACLS,2026-03-25,2026-07-19
ELIG-00061,EMP-CN-0048,7601190000486,CN-D7-U01,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00062,EMP-CN-0048,7601190000486,CN-D7-U02,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00063,EMP-CN-0048,7601190000486,CN-D7-U03,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00064,EMP-CN-0048,7601190000486,CN-D7-U04,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00065,EMP-CN-0048,7601190000486,CN-D7-U05,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00066,EMP-CN-0048,7601190000486,CN-D7-U06,CN,FALSE,fehlt: SK-NDS-IPS,2028-03-04,2026-07-19
ELIG-00067,EMP-CN-0049,7601190000493,CN-D7-U01,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00068,EMP-CN-0049,7601190000493,CN-D7-U02,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00069,EMP-CN-0049,7601190000493,CN-D7-U03,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00070,EMP-CN-0049,7601190000493,CN-D7-U04,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00071,EMP-CN-0049,7601190000493,CN-D7-U05,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00072,EMP-CN-0049,7601190000493,CN-D7-U06,CN,FALSE,fehlt: SK-NDS-IPS,2028-04-28,2026-07-19
ELIG-00073,EMP-CN-0050,7601190000509,CN-D7-U01,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00074,EMP-CN-0050,7601190000509,CN-D7-U02,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00075,EMP-CN-0050,7601190000509,CN-D7-U03,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00076,EMP-CN-0050,7601190000509,CN-D7-U04,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00077,EMP-CN-0050,7601190000509,CN-D7-U05,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00078,EMP-CN-0050,7601190000509,CN-D7-U06,CN,FALSE,fehlt: SK-NDS-IPS,2028-01-16,2026-07-19
ELIG-00079,EMP-CN-0050,7601190000509,CN-D7-U08,CN,FALSE,unter Schwelle: SK-ACLS,2028-01-16,2026-07-19
ELIG-00080,EMP-CP-0006,7601290000065,CP-D1-U02,CP,FALSE,fehlt: SK-ACLS,,2026-07-19
ELIG-00081,EMP-CP-0010,7601290000102,CP-D3-U01,CP,FALSE,unter Schwelle: SK-ONCO-NURSE,2026-09-11,2026-07-19
ELIG-00082,EMP-CP-0011,7601290000119,CP-D3-U01,CP,FALSE,fehlt: SK-ONCO-NURSE,,2026-07-19
ELIG-00083,EMP-CP-0012,7601290000126,CP-D3-U01,CP,FALSE,fehlt: SK-ONCO-NURSE,,2026-07-19
ELIG-00084,EMP-CP-0016,7601290000164,CP-D4-U01,CP,TRUE,,,2026-07-19
ELIG-00085,EMP-CP-0017,7601290000171,CP-D4-U01,CP,TRUE,,,2026-07-19
ELIG-00086,EMP-CP-0020,7601290000201,CP-D5-U01,CP,FALSE,unter Schwelle: SK-PALS,2026-12-21,2026-07-19
ELIG-00087,EMP-CP-0021,7601290000218,CP-D5-U01,CP,FALSE,fehlt: SK-PALS,,2026-07-19
ELIG-00088,EMP-CP-0024,7601290000249,CP-D6-U01,CP,FALSE,unter Schwelle: SK-ACLS,2026-11-21,2026-07-19
ELIG-00089,EMP-CP-0024,7601290000249,CP-D6-U02,CP,FALSE,unter Schwelle: SK-ACLS,2026-11-21,2026-07-19
ELIG-00090,EMP-CP-0025,7601290000256,CP-D6-U01,CP,FALSE,abgelaufen: SK-TRIAGE (2026-02-23),2026-02-23,2026-07-19
ELIG-00091,EMP-CP-0025,7601290000256,CP-D6-U02,CP,FALSE,abgelaufen: SK-TRIAGE (2026-02-23),2026-02-23,2026-07-19
ELIG-00092,EMP-CP-0026,7601290000263,CP-D6-U01,CP,TRUE,,2027-04-23,2026-07-19
ELIG-00093,EMP-CP-0026,7601290000263,CP-D6-U02,CP,TRUE,,2027-04-23,2026-07-19
ELIG-00094,EMP-CP-0027,7601290000270,CP-D6-U01,CP,TRUE,,2026-07-31,2026-07-19
ELIG-00095,EMP-CP-0027,7601290000270,CP-D6-U02,CP,TRUE,,2026-07-31,2026-07-19
ELIG-00096,EMP-CP-0027,7601290000270,CP-D6-U03,CP,TRUE,,2026-07-31,2026-07-19
ELIG-00097,EMP-CP-0028,7601290000287,CP-D6-U01,CP,FALSE,abgelaufen: SK-ACLS (2026-05-15),2026-05-15,2026-07-19
ELIG-00098,EMP-CP-0028,7601290000287,CP-D6-U02,CP,FALSE,abgelaufen: SK-ACLS (2026-05-15),2026-05-15,2026-07-19
ELIG-00099,EMP-CP-0028,7601290000287,CP-D6-U03,CP,FALSE,abgelaufen: SK-ACLS (2026-05-15),2026-05-15,2026-07-19
ELIG-00100,EMP-CP-0029,7601290000294,CP-D6-U01,CP,TRUE,,2027-05-27,2026-07-19
ELIG-00101,EMP-CP-0029,7601290000294,CP-D6-U02,CP,TRUE,,2027-05-27,2026-07-19
ELIG-00102,EMP-CP-0029,7601290000294,CP-D6-U03,CP,TRUE,,2027-05-27,2026-07-19
ELIG-00103,EMP-CP-0030,7601290000300,CP-D6-U01,CP,FALSE,fehlt: SK-TRIAGE,2028-03-26,2026-07-19
ELIG-00104,EMP-CP-0030,7601290000300,CP-D6-U02,CP,FALSE,fehlt: SK-TRIAGE,2028-03-26,2026-07-19
ELIG-00105,EMP-CP-0031,7601290000317,CP-D6-U01,CP,FALSE,fehlt: SK-TRIAGE,2028-05-29,2026-07-19
ELIG-00106,EMP-CP-0031,7601290000317,CP-D6-U02,CP,FALSE,fehlt: SK-TRIAGE,2028-05-29,2026-07-19
ELIG-00107,EMP-CP-0036,7601290000362,CP-D7-U02,CP,TRUE,,,2026-07-19
ELIG-00108,EMP-CP-0039,7601290000393,CP-D8-U01,CP,TRUE,,2029-05-08,2026-07-19
ELIG-00109,EMP-CP-0039,7601290000393,CP-D8-U02,CP,TRUE,,2029-05-08,2026-07-19
ELIG-00110,EMP-CP-0040,7601290000409,CP-D8-U01,CP,TRUE,,2029-05-28,2026-07-19
ELIG-00111,EMP-CP-0040,7601290000409,CP-D8-U02,CP,TRUE,,2029-05-28,2026-07-19
ELIG-00112,EMP-VT-0006,7601390000064,VT-D2-U01,VT,FALSE,unter Schwelle: SK-OBST,,2026-07-19
ELIG-00113,EMP-VT-0007,7601390000071,VT-D2-U01,VT,TRUE,,,2026-07-19
ELIG-00114,EMP-VT-0012,7601390000125,VT-D3-U02,VT,TRUE,,,2026-07-19
ELIG-00115,EMP-VT-0017,7601390000170,VT-D5-U01,VT,FALSE,unter Schwelle: SK-DE-B2,2027-01-22,2026-07-19
ELIG-00116,EMP-VT-0017,7601390000170,VT-D5-U02,VT,FALSE,unter Schwelle: SK-DE-B2,2027-01-22,2026-07-19
ELIG-00117,EMP-VT-0018,7601390000187,VT-D5-U01,VT,TRUE,,2027-12-28,2026-07-19
ELIG-00118,EMP-VT-0018,7601390000187,VT-D5-U02,VT,TRUE,,2027-12-28,2026-07-19
ELIG-00119,EMP-VT-0019,7601390000194,VT-D5-U01,VT,TRUE,,2026-10-16,2026-07-19
ELIG-00120,EMP-VT-0019,7601390000194,VT-D5-U02,VT,TRUE,,2026-10-16,2026-07-19
ELIG-00121,EMP-VT-0020,7601390000200,VT-D5-U01,VT,FALSE,fehlt: SK-TRIAGE,2027-05-27,2026-07-19
ELIG-00122,EMP-VT-0020,7601390000200,VT-D5-U02,VT,FALSE,fehlt: SK-TRIAGE,2027-05-27,2026-07-19
ELIG-00123,EMP-VT-0021,7601390000217,VT-D6-U01,VT,FALSE,abgelaufen: SK-VENT (2026-03-10),2026-03-10,2026-07-19
ELIG-00124,EMP-VT-0021,7601390000217,VT-D6-U02,VT,FALSE,abgelaufen: SK-VENT (2026-03-10),2026-03-10,2026-07-19
ELIG-00125,EMP-VT-0022,7601390000224,VT-D6-U01,VT,FALSE,unter Schwelle: SK-ACLS,2027-10-20,2026-07-19
ELIG-00126,EMP-VT-0022,7601390000224,VT-D6-U02,VT,FALSE,unter Schwelle: SK-ACLS,2027-10-20,2026-07-19
ELIG-00127,EMP-VT-0023,7601390000231,VT-D6-U01,VT,FALSE,unter Schwelle: SK-NDS-IPS,2027-04-15,2026-07-19
ELIG-00128,EMP-VT-0023,7601390000231,VT-D6-U02,VT,FALSE,unter Schwelle: SK-NDS-IPS,2027-04-15,2026-07-19
ELIG-00129,EMP-VT-0024,7601390000248,VT-D6-U01,VT,FALSE,unter Schwelle: SK-ACLS,2028-01-08,2026-07-19
ELIG-00130,EMP-VT-0024,7601390000248,VT-D6-U02,VT,FALSE,unter Schwelle: SK-ACLS,2028-01-08,2026-07-19
ELIG-00131,EMP-VT-0025,7601390000255,VT-D6-U01,VT,FALSE,fehlt: SK-NDS-IPS,2028-01-25,2026-07-19
ELIG-00132,EMP-VT-0025,7601390000255,VT-D6-U02,VT,FALSE,fehlt: SK-NDS-IPS,2028-01-25,2026-07-19
ELIG-00133,EMP-VT-0027,7601390000279,VT-D7-U01,VT,FALSE,fehlt: SK-DIAL,,2026-07-19
ELIG-00134,EMP-VT-0028,7601390000286,VT-D7-U01,VT,TRUE,,2026-08-12,2026-07-19
ELIG-00135,EMP-VT-0030,7601390000309,VT-D8-U01,VT,TRUE,,2030-03-17,2026-07-19
ELIG-00136,EMP-VT-0030,7601390000309,VT-D8-U02,VT,TRUE,,2030-03-17,2026-07-19
ELIG-00137,EMP-VT-0031,7601390000316,VT-D8-U01,VT,TRUE,,2031-02-22,2026-07-19
ELIG-00138,EMP-VT-0031,7601390000316,VT-D8-U02,VT,TRUE,,2031-02-22,2026-07-19
