template_id,applies_to_type,applies_to_id,skill_id,min_proficiency,min_assurance,is_mandatory,rationale
TMPL-048,occupation,OCC-PHYS-ANAES,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-049,occupation,OCC-PHYS-INTENS,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-050,occupation,OCC-PHYS-INTENS,SK-FMH-INTENS,2,L3,TRUE,Sicherheitskritisch
TMPL-051,occupation,OCC-PHYS-INTENS,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-052,occupation,OCC-PHYS-INTENS,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-053,occupation,OCC-PHYS-EMERG,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-054,occupation,OCC-PHYS-EMERG,SK-FMH-NOTF,2,L3,TRUE,Sicherheitskritisch
TMPL-055,occupation,OCC-PHYS-EMERG,SK-ACLS,2,L2,TRUE,Sicherheitskritisch
TMPL-056,occupation,OCC-PHYS-EMERG,SK-PALS,2,L2,TRUE,Sicherheitskritisch
TMPL-057,occupation,OCC-PHYS-EMERG,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-058,occupation,OCC-PHYS-SURG,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-059,occupation,OCC-PHYS-SURG,SK-FMH-SURG,2,L3,FALSE,Kernkompetenz Rolle
TMPL-060,occupation,OCC-PHYS-SURG,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-061,occupation,OCC-PHYS-INTMED,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-062,occupation,OCC-PHYS-INTMED,SK-FMH-INTMED,2,L3,FALSE,Kernkompetenz Rolle
TMPL-063,occupation,OCC-PHYS-INTMED,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-064,occupation,OCC-PHYS-CARD,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-065,occupation,OCC-PHYS-CARD,SK-FMH-CARD,2,L3,FALSE,Kernkompetenz Rolle
TMPL-066,occupation,OCC-PHYS-CARD,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-067,occupation,OCC-PHYS-NEURO,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-068,occupation,OCC-PHYS-NEURO,SK-FMH-NEURO,2,L3,FALSE,Kernkompetenz Rolle
TMPL-069,occupation,OCC-PHYS-NEURO,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-070,occupation,OCC-PHYS-ONCO,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-071,occupation,OCC-PHYS-ONCO,SK-FMH-ONCO,2,L3,FALSE,Kernkompetenz Rolle
TMPL-072,occupation,OCC-PHYS-ONCO,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-073,occupation,OCC-PHYS-GYN,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-074,occupation,OCC-PHYS-GYN,SK-FMH-GYN,2,L3,FALSE,Kernkompetenz Rolle
TMPL-075,occupation,OCC-PHYS-GYN,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-076,occupation,OCC-PHYS-PAED,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-077,occupation,OCC-PHYS-PAED,SK-FMH-PAED,2,L3,FALSE,Kernkompetenz Rolle
TMPL-078,occupation,OCC-PHYS-PAED,SK-PALS,2,L2,TRUE,Sicherheitskritisch
TMPL-079,occupation,OCC-PHYS-PAED,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-080,occupation,OCC-PHYS-RADIOL,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-081,occupation,OCC-PHYS-RADIOL,SK-FMH-RADIOL,2,L3,FALSE,Kernkompetenz Rolle
TMPL-082,occupation,OCC-PHYS-RADIOL,SK-RADPROT,2,L2,TRUE,Sicherheitskritisch
TMPL-083,occupation,OCC-PHYS-RADIOL,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-084,occupation,OCC-PHYS-NEPHRO,SK-LIC-PHYS,3,L4,TRUE,Sicherheitskritisch
TMPL-085,occupation,OCC-PHYS-NEPHRO,SK-FMH-NEPHRO,2,L3,FALSE,Kernkompetenz Rolle
TMPL-086,occupation,OCC-PHYS-NEPHRO,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-087,occupation,OCC-PHYSIO,SK-LIC-PHYSIO,3,L4,TRUE,Sicherheitskritisch
TMPL-088,occupation,OCC-PHYSIO,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-089,occupation,OCC-BEDMGR,SK-BEDFLOW,2,L1,FALSE,Kernkompetenz Rolle
TMPL-090,occupation,OCC-BEDMGR,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-091,occupation,OCC-BEDMGR,SK-DOC,2,L1,FALSE,Kernkompetenz Rolle
TMPL-092,occupation,OCC-ORCOORD,SK-ORCOORD,2,L1,FALSE,Kernkompetenz Rolle
TMPL-093,occupation,OCC-ORCOORD,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-094,occupation,OCC-ORCOORD,SK-DOC,2,L1,FALSE,Kernkompetenz Rolle
TMPL-095,occupation,OCC-DISCHARGE,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-096,occupation,OCC-DISCHARGE,SK-DISCHARGE,2,L1,FALSE,Kernkompetenz Rolle
TMPL-097,occupation,OCC-DISCHARGE,SK-WOUND,2,L1,FALSE,Kernkompetenz Rolle
TMPL-098,occupation,OCC-DISCHARGE,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-099,occupation,OCC-CRISIS,SK-CRISIS,2,L1,FALSE,Kernkompetenz Rolle
TMPL-100,occupation,OCC-CRISIS,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-101,occupation,OCC-DQ,SK-DQSTEWARD,2,L2,FALSE,Kernkompetenz Rolle
TMPL-102,occupation,OCC-DQ,SK-DATA,2,L1,FALSE,Kernkompetenz Rolle
TMPL-103,occupation,OCC-DQ,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
TMPL-104,occupation,OCC-WARDLEAD,SK-LIC-NURSE,3,L4,TRUE,Sicherheitskritisch
TMPL-105,occupation,OCC-WARDLEAD,SK-WARDLEAD,2,L1,FALSE,Kernkompetenz Rolle
TMPL-106,occupation,OCC-WARDLEAD,SK-DE-B2,2,L2,TRUE,Sicherheitskritisch
