position_id,tenant_id,department_id,occupation_id,planned_fte,headcount_budget,shift_pattern,is_vacant
POS-CN-D8-PHYS-INTMED,CN,CN-D8,OCC-PHYS-INTMED,1.3,1,Tagdienst,FALSE
POS-CP-D1-RN,CP,CP-D1,OCC-RN,2.4,3,3-Schicht,FALSE
POS-CP-D1-PHYS-CARD,CP,CP-D1,OCC-PHYS-CARD,2.0,2,Tagdienst,FALSE
POS-CP-D1-SCRUB,CP,CP-D1,OCC-SCRUB,1.1,1,Tagdienst,FALSE
POS-CP-D2-RN,CP,CP-D2,OCC-RN,2.2,2,3-Schicht,FALSE
POS-CP-D2-PHYS-NEURO,CP,CP-D2,OCC-PHYS-NEURO,1.4,1,Tagdienst,FALSE
POS-CP-D3-RN,CP,CP-D3,OCC-RN,2.9,3,3-Schicht,FALSE
POS-CP-D3-PHYS-ONCO,CP,CP-D3,OCC-PHYS-ONCO,2.2,2,Tagdienst,FALSE
POS-CP-D3-DISCHARGE,CP,CP-D3,OCC-DISCHARGE,1.0,1,Tagdienst,FALSE
POS-CP-D4-MIDWIFE,CP,CP-D4,OCC-MIDWIFE,2.0,2,Tagdienst,FALSE
POS-CP-D4-RN,CP,CP-D4,OCC-RN,1.1,2,3-Schicht,FALSE
POS-CP-D4-PHYS-GYN,CP,CP-D4,OCC-PHYS-GYN,1.2,1,Tagdienst,FALSE
POS-CP-D5-RN,CP,CP-D5,OCC-RN,2.2,3,3-Schicht,FALSE
POS-CP-D5-PHYS-PAED,CP,CP-D5,OCC-PHYS-PAED,2.0,2,Tagdienst,FALSE
POS-CP-D6-ER-RN,CP,CP-D6,OCC-ER-RN,2.4,3,3-Schicht,FALSE
POS-CP-D6-PARA,CP,CP-D6,OCC-PARA,3.2,3,3-Schicht,FALSE
POS-CP-D6-PHYS-EMERG,CP,CP-D6,OCC-PHYS-EMERG,2.4,2,Tagdienst,FALSE
POS-CP-D6-BEDMGR,CP,CP-D6,OCC-BEDMGR,1.1,2,Tagdienst,FALSE
POS-CP-D6-CRISIS,CP,CP-D6,OCC-CRISIS,1.2,1,Tagdienst,FALSE
POS-CP-D7-RN,CP,CP-D7,OCC-RN,1.8,2,3-Schicht,FALSE
POS-CP-D7-SCRUB,CP,CP-D7,OCC-SCRUB,1.1,2,Tagdienst,FALSE
POS-CP-D7-PHYS-SURG,CP,CP-D7,OCC-PHYS-SURG,1.4,1,Tagdienst,FALSE
POS-CP-D7-ORCOORD,CP,CP-D7,OCC-ORCOORD,1.2,1,Tagdienst,FALSE
POS-CP-D8-MTRA,CP,CP-D8,OCC-MTRA,2.2,2,Tagdienst,FALSE
POS-CP-D8-PHYS-RADIOL,CP,CP-D8,OCC-PHYS-RADIOL,1.3,1,Tagdienst,FALSE
POS-CP-D8-DQ,CP,CP-D8,OCC-DQ,1.1,1,Tagdienst,FALSE
POS-VT-D1-RN,VT,VT-D1,OCC-RN,2.8,3,3-Schicht,FALSE
POS-VT-D1-PHYS-INTMED,VT,VT-D1,OCC-PHYS-INTMED,1.2,2,Tagdienst,FALSE
POS-VT-D1-DISCHARGE,VT,VT-D1,OCC-DISCHARGE,1.2,1,Tagdienst,FALSE
POS-VT-D2-MIDWIFE,VT,VT-D2,OCC-MIDWIFE,2.0,3,Tagdienst,FALSE
POS-VT-D2-RN,VT,VT-D2,OCC-RN,1.2,1,3-Schicht,FALSE
POS-VT-D2-PHYS-GYN,VT,VT-D2,OCC-PHYS-GYN,1.2,1,Tagdienst,FALSE
POS-VT-D3-RN,VT,VT-D3,OCC-RN,2.2,2,3-Schicht,FALSE
POS-VT-D3-SCRUB,VT,VT-D3,OCC-SCRUB,1.2,2,Tagdienst,FALSE
POS-VT-D3-PHYS-SURG,VT,VT-D3,OCC-PHYS-SURG,1.1,1,Tagdienst,FALSE
POS-VT-D3-ORCOORD,VT,VT-D3,OCC-ORCOORD,1.4,1,Tagdienst,FALSE
POS-VT-D4-RN,VT,VT-D4,OCC-RN,1.0,2,3-Schicht,FALSE
POS-VT-D4-PHYS-SURG,VT,VT-D4,OCC-PHYS-SURG,1.4,1,Tagdienst,FALSE
POS-VT-D5-ER-RN,VT,VT-D5,OCC-ER-RN,2.9,3,3-Schicht,FALSE
POS-VT-D5-PHYS-EMERG,VT,VT-D5,OCC-PHYS-EMERG,1.0,1,Tagdienst,FALSE
POS-VT-D6-ICU-RN,VT,VT-D6,OCC-ICU-RN,3.6,5,3-Schicht,FALSE
POS-VT-D6-PHYS-INTENS,VT,VT-D6,OCC-PHYS-INTENS,1.2,2,Tagdienst,FALSE
POS-VT-D6-BEDMGR,VT,VT-D6,OCC-BEDMGR,1.0,1,Tagdienst,FALSE
POS-VT-D7-RN,VT,VT-D7,OCC-RN,2.2,3,3-Schicht,FALSE
POS-VT-D7-PHYS-NEPHRO,VT,VT-D7,OCC-PHYS-NEPHRO,1.3,1,Tagdienst,FALSE
POS-VT-D8-MTRA,VT,VT-D8,OCC-MTRA,2.4,2,Tagdienst,FALSE
POS-VT-D8-PHYS-RADIOL,VT,VT-D8,OCC-PHYS-RADIOL,1.0,1,Tagdienst,FALSE
POS-VT-D8-DQ,VT,VT-D8,OCC-DQ,1.2,2,Tagdienst,FALSE
