gap_id,tenant_id,department_id,unit_id,skill_id,shift_window,headcount_required,valid_supply,gap,nearest_expiry_date,redeploy_candidates_count,computed_at,care_setting_id,source_mode
GAP-0048,CN,CN-D7,CN-D7-U05,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0049,CN,CN-D7,CN-D7-U05,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0050,CN,CN-D7,CN-D7-U05,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0051,CN,CN-D7,CN-D7-U05,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0052,CN,CN-D7,CN-D7-U05,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0053,CN,CN-D7,CN-D7-U06,SK-NDS-IPS,Nacht,3,3,0,,1,2026-07-19,bed,live
GAP-0054,CN,CN-D7,CN-D7-U06,SK-NDS-IPS,Tag,3,3,0,,1,2026-07-19,bed,live
GAP-0055,CN,CN-D7,CN-D7-U06,SK-VENT,Nacht,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0056,CN,CN-D7,CN-D7-U06,SK-VENT,Tag,3,1,2,2028-01-02,1,2026-07-19,bed,live
GAP-0057,CN,CN-D7,CN-D7-U06,SK-ACLS,Nacht,3,9,0,2026-09-19,0,2026-07-19,ops,simulated
GAP-0058,CN,CN-D7,CN-D7-U06,SK-ACLS,Tag,3,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0059,CN,CN-D7,CN-D7-U06,SK-DE-B2,Nacht,3,13,0,,33,2026-07-19,bed,live
GAP-0060,CN,CN-D7,CN-D7-U06,SK-DE-B2,Tag,3,13,0,,33,2026-07-19,bed,live
GAP-0061,CN,CN-D7,CN-D7-U07,SK-ACLS,Nacht,2,9,0,2026-09-19,0,2026-07-19,ops,simulated
GAP-0062,CN,CN-D7,CN-D7-U07,SK-ACLS,Tag,2,9,0,2026-09-19,0,2026-07-19,ops,simulated
GAP-0063,CN,CN-D7,CN-D7-U07,SK-DE-B2,Nacht,2,13,0,,33,2026-07-19,bed,simulated
GAP-0064,CN,CN-D7,CN-D7-U07,SK-DE-B2,Tag,2,13,0,,33,2026-07-19,bed,live
GAP-0065,CN,CN-D7,CN-D7-U08,SK-ACLS,Nacht,1,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0066,CN,CN-D7,CN-D7-U08,SK-ACLS,Tag,1,9,0,2026-09-19,0,2026-07-19,ops,live
GAP-0067,CP,CP-D1,CP-D1-U02,SK-ACLS,Tag,1,0,1,,6,2026-07-19,ops,live
GAP-0068,CP,CP-D1,CP-D1-U02,SK-DE-B2,Tag,1,2,0,,29,2026-07-19,bed,live
GAP-0069,CP,CP-D3,CP-D3-U01,SK-ONCO-NURSE,Tag,2,0,2,,0,2026-07-19,bed,live
GAP-0070,CP,CP-D3,CP-D3-U01,SK-DE-B2,Tag,2,5,0,,26,2026-07-19,bed,live
GAP-0071,CP,CP-D4,CP-D4-U01,SK-OBST,Tag,2,2,0,,0,2026-07-19,bed,live
GAP-0072,CP,CP-D4,CP-D4-U01,SK-DE-B2,Tag,2,3,0,,28,2026-07-19,bed,live
GAP-0073,CP,CP-D5,CP-D5-U01,SK-PALS,Tag,2,1,1,2027-04-21,4,2026-07-19,bed,live
GAP-0074,CP,CP-D5,CP-D5-U01,SK-DE-B2,Tag,2,3,0,,28,2026-07-19,bed,live
GAP-0075,CP,CP-D6,CP-D6-U01,SK-ACLS,Nacht,2,6,0,2026-07-31,0,2026-07-19,ops,live
GAP-0076,CP,CP-D6,CP-D6-U01,SK-ACLS,Tag,2,6,0,2026-07-31,0,2026-07-19,ops,live
GAP-0077,CP,CP-D6,CP-D6-U01,SK-TRIAGE,Nacht,2,4,0,2027-04-23,0,2026-07-19,bed,live
GAP-0078,CP,CP-D6,CP-D6-U01,SK-TRIAGE,Tag,2,4,0,2027-04-23,0,2026-07-19,bed,live
GAP-0079,CP,CP-D6,CP-D6-U01,SK-DE-B2,Nacht,2,8,0,,23,2026-07-19,bed,live
GAP-0080,CP,CP-D6,CP-D6-U01,SK-DE-B2,Tag,2,8,0,,23,2026-07-19,bed,simulated
GAP-0081,CP,CP-D6,CP-D6-U02,SK-ACLS,Nacht,2,6,0,2026-07-31,0,2026-07-19,ops,live
GAP-0082,CP,CP-D6,CP-D6-U02,SK-ACLS,Tag,2,6,0,2026-07-31,0,2026-07-19,ops,live
GAP-0083,CP,CP-D6,CP-D6-U02,SK-TRIAGE,Nacht,2,4,0,2027-04-23,0,2026-07-19,bed,live
GAP-0084,CP,CP-D6,CP-D6-U02,SK-TRIAGE,Tag,2,4,0,2027-04-23,0,2026-07-19,bed,live
GAP-0085,CP,CP-D6,CP-D6-U02,SK-DE-B2,Nacht,2,8,0,,23,2026-07-19,bed,live
GAP-0086,CP,CP-D6,CP-D6-U02,SK-DE-B2,Tag,2,8,0,,23,2026-07-19,bed,live
GAP-0087,CP,CP-D6,CP-D6-U03,SK-ACLS,Nacht,2,6,0,2026-07-31,0,2026-07-19,bed,live
GAP-0088,CP,CP-D6,CP-D6-U03,SK-ACLS,Tag,2,6,0,2026-07-31,0,2026-07-19,bed,live
GAP-0089,CP,CP-D7,CP-D7-U02,SK-SCRUB,Tag,1,1,0,,1,2026-07-19,bed,simulated
GAP-0090,CP,CP-D7,CP-D7-U02,SK-DE-B2,Tag,1,3,0,,28,2026-07-19,bed,live
GAP-0091,CP,CP-D8,CP-D8-U01,SK-RADPROT,Tag,1,2,0,2029-05-08,0,2026-07-19,bed,live
GAP-0092,CP,CP-D8,CP-D8-U01,SK-DE-B2,Tag,1,4,0,,27,2026-07-19,bed,simulated
GAP-0093,CP,CP-D8,CP-D8-U02,SK-RADPROT,Tag,1,2,0,2029-05-08,0,2026-07-19,bed,live
GAP-0094,CP,CP-D8,CP-D8-U02,SK-DE-B2,Tag,1,4,0,,27,2026-07-19,bed,live
GAP-0095,VT,VT-D2,VT-D2-U01,SK-OBST,Tag,2,1,1,,0,2026-07-19,bed,live
GAP-0096,VT,VT-D2,VT-D2-U01,SK-DE-B2,Tag,2,4,0,,26,2026-07-19,bed,live
GAP-0097,VT,VT-D3,VT-D3-U02,SK-SCRUB,Tag,1,1,0,,0,2026-07-19,bed,live
GAP-0098,VT,VT-D3,VT-D3-U02,SK-DE-B2,Tag,1,5,0,,25,2026-07-19,bed,live
GAP-0099,VT,VT-D4,VT-D4-U02,SK-SCRUB,Tag,1,0,1,,1,2026-07-19,bed,live
GAP-0100,VT,VT-D4,VT-D4-U02,SK-DE-B2,Tag,1,2,0,,28,2026-07-19,bed,live
GAP-0101,VT,VT-D5,VT-D5-U01,SK-ACLS,Nacht,2,4,0,2026-10-16,1,2026-07-19,ops,live
GAP-0102,VT,VT-D5,VT-D5-U01,SK-ACLS,Tag,2,4,0,2026-10-16,1,2026-07-19,ops,live
GAP-0103,VT,VT-D5,VT-D5-U01,SK-TRIAGE,Nacht,2,3,0,2027-01-22,0,2026-07-19,bed,live
GAP-0104,VT,VT-D5,VT-D5-U01,SK-TRIAGE,Tag,2,3,0,2027-01-22,0,2026-07-19,bed,live
GAP-0105,VT,VT-D5,VT-D5-U01,SK-DE-B2,Nacht,2,3,0,,27,2026-07-19,bed,live
GAP-0106,VT,VT-D5,VT-D5-U01,SK-DE-B2,Tag,2,3,0,,27,2026-07-19,bed,simulated
GAP-0107,VT,VT-D5,VT-D5-U02,SK-ACLS,Nacht,2,4,0,2026-10-16,1,2026-07-19,ops,live
GAP-0108,VT,VT-D5,VT-D5-U02,SK-ACLS,Tag,2,4,0,2026-10-16,1,2026-07-19,ops,live
GAP-0109,VT,VT-D5,VT-D5-U02,SK-TRIAGE,Nacht,2,3,0,2027-01-22,0,2026-07-19,bed,live
GAP-0110,VT,VT-D5,VT-D5-U02,SK-TRIAGE,Tag,2,3,0,2027-01-22,0,2026-07-19,bed,simulated
GAP-0111,VT,VT-D5,VT-D5-U02,SK-DE-B2,Nacht,2,3,0,,27,2026-07-19,bed,simulated
GAP-0112,VT,VT-D5,VT-D5-U02,SK-DE-B2,Tag,2,3,0,,27,2026-07-19,bed,simulated
GAP-0113,VT,VT-D6,VT-D6-U01,SK-NDS-IPS,Nacht,3,3,0,,0,2026-07-19,bed,live
GAP-0114,VT,VT-D6,VT-D6-U01,SK-NDS-IPS,Tag,3,3,0,,0,2026-07-19,bed,simulated
GAP-0115,VT,VT-D6,VT-D6-U01,SK-VENT,Nacht,3,3,0,2027-04-15,0,2026-07-19,bed,live
GAP-0116,VT,VT-D6,VT-D6-U01,SK-VENT,Tag,3,3,0,2027-04-15,0,2026-07-19,bed,live
GAP-0117,VT,VT-D6,VT-D6-U01,SK-ACLS,Nacht,3,1,2,2028-01-25,4,2026-07-19,ops,live
GAP-0118,VT,VT-D6,VT-D6-U01,SK-ACLS,Tag,3,1,2,2028-01-25,4,2026-07-19,ops,simulated
GAP-0119,VT,VT-D6,VT-D6-U01,SK-DE-B2,Nacht,3,5,0,,25,2026-07-19,bed,live
GAP-0120,VT,VT-D6,VT-D6-U01,SK-DE-B2,Tag,3,5,0,,25,2026-07-19,bed,simulated
GAP-0121,VT,VT-D6,VT-D6-U02,SK-NDS-IPS,Nacht,3,3,0,,0,2026-07-19,bed,live
GAP-0122,VT,VT-D6,VT-D6-U02,SK-NDS-IPS,Tag,3,3,0,,0,2026-07-19,bed,live
GAP-0123,VT,VT-D6,VT-D6-U02,SK-VENT,Nacht,3,3,0,2027-04-15,0,2026-07-19,bed,live
GAP-0124,VT,VT-D6,VT-D6-U02,SK-VENT,Tag,3,3,0,2027-04-15,0,2026-07-19,bed,live
GAP-0125,VT,VT-D6,VT-D6-U02,SK-ACLS,Nacht,3,1,2,2028-01-25,4,2026-07-19,ops,live
GAP-0126,VT,VT-D6,VT-D6-U02,SK-ACLS,Tag,3,1,2,2028-01-25,4,2026-07-19,ops,simulated
GAP-0127,VT,VT-D6,VT-D6-U02,SK-DE-B2,Nacht,3,5,0,,25,2026-07-19,bed,simulated
GAP-0128,VT,VT-D6,VT-D6-U02,SK-DE-B2,Tag,3,5,0,,25,2026-07-19,bed,live
GAP-0129,VT,VT-D7,VT-D7-U01,SK-DIAL,Tag,2,1,1,2026-08-12,0,2026-07-19,bed,live
GAP-0130,VT,VT-D7,VT-D7-U01,SK-DE-B2,Tag,2,3,0,,27,2026-07-19,bed,live
GAP-0131,VT,VT-D8,VT-D8-U01,SK-RADPROT,Tag,1,3,0,2028-06-19,0,2026-07-19,bed,live
GAP-0132,VT,VT-D8,VT-D8-U01,SK-DE-B2,Tag,1,4,0,,26,2026-07-19,bed,simulated
GAP-0133,VT,VT-D8,VT-D8-U02,SK-RADPROT,Tag,1,3,0,2028-06-19,0,2026-07-19,bed,live
GAP-0134,VT,VT-D8,VT-D8-U02,SK-DE-B2,Tag,1,4,0,,26,2026-07-19,bed,live
