demand_id,tenant_id,department_id,unit_id,skill_id,min_proficiency,min_assurance,headcount_required,shift_window,effective_date,care_setting_id,source_mode
DEM-0026,CN,CN-D7,CN-D7-U02,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0027,CN,CN-D7,CN-D7-U02,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0028,CN,CN-D7,CN-D7-U02,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0029,CN,CN-D7,CN-D7-U03,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0030,CN,CN-D7,CN-D7-U03,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,live
DEM-0031,CN,CN-D7,CN-D7-U03,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,simulated
DEM-0032,CN,CN-D7,CN-D7-U03,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0033,CN,CN-D7,CN-D7-U03,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0034,CN,CN-D7,CN-D7-U03,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0035,CN,CN-D7,CN-D7-U03,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0036,CN,CN-D7,CN-D7-U03,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0037,CN,CN-D7,CN-D7-U04,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0038,CN,CN-D7,CN-D7-U04,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,simulated
DEM-0039,CN,CN-D7,CN-D7-U04,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0040,CN,CN-D7,CN-D7-U04,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0041,CN,CN-D7,CN-D7-U04,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0042,CN,CN-D7,CN-D7-U04,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0043,CN,CN-D7,CN-D7-U04,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0044,CN,CN-D7,CN-D7-U04,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0045,CN,CN-D7,CN-D7-U05,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0046,CN,CN-D7,CN-D7-U05,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,live
DEM-0047,CN,CN-D7,CN-D7-U05,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0048,CN,CN-D7,CN-D7-U05,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0049,CN,CN-D7,CN-D7-U05,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0050,CN,CN-D7,CN-D7-U05,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0051,CN,CN-D7,CN-D7-U05,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0052,CN,CN-D7,CN-D7-U05,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0053,CN,CN-D7,CN-D7-U06,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0054,CN,CN-D7,CN-D7-U06,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,live
DEM-0055,CN,CN-D7,CN-D7-U06,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0056,CN,CN-D7,CN-D7-U06,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0057,CN,CN-D7,CN-D7-U06,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,simulated
DEM-0058,CN,CN-D7,CN-D7-U06,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,live
DEM-0059,CN,CN-D7,CN-D7-U06,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0060,CN,CN-D7,CN-D7-U06,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0061,CN,CN-D7,CN-D7-U07,SK-ACLS,3,L2,2,Nacht,2026-07-19,ops,simulated
DEM-0062,CN,CN-D7,CN-D7-U07,SK-ACLS,3,L2,2,Tag,2026-07-19,ops,simulated
DEM-0063,CN,CN-D7,CN-D7-U07,SK-DE-B2,3,L2,2,Nacht,2026-07-19,bed,simulated
DEM-0064,CN,CN-D7,CN-D7-U07,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0065,CN,CN-D7,CN-D7-U08,SK-ACLS,3,L2,1,Nacht,2026-07-19,ops,live
DEM-0066,CN,CN-D7,CN-D7-U08,SK-ACLS,3,L2,1,Tag,2026-07-19,ops,live
DEM-0067,CP,CP-D1,CP-D1-U02,SK-ACLS,3,L2,1,Tag,2026-07-19,ops,live
DEM-0068,CP,CP-D1,CP-D1-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0069,CP,CP-D3,CP-D3-U01,SK-ONCO-NURSE,3,L2,2,Tag,2026-07-19,bed,live
DEM-0070,CP,CP-D3,CP-D3-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0071,CP,CP-D4,CP-D4-U01,SK-OBST,3,L4,2,Tag,2026-07-19,bed,live
DEM-0072,CP,CP-D4,CP-D4-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0073,CP,CP-D5,CP-D5-U01,SK-PALS,3,L2,2,Tag,2026-07-19,bed,live
DEM-0074,CP,CP-D5,CP-D5-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0075,CP,CP-D6,CP-D6-U01,SK-ACLS,3,L2,2,Nacht,2026-07-19,ops,live
DEM-0076,CP,CP-D6,CP-D6-U01,SK-ACLS,3,L2,2,Tag,2026-07-19,ops,live
DEM-0077,CP,CP-D6,CP-D6-U01,SK-TRIAGE,3,L1,2,Nacht,2026-07-19,bed,live
DEM-0078,CP,CP-D6,CP-D6-U01,SK-TRIAGE,3,L1,2,Tag,2026-07-19,bed,live
DEM-0079,CP,CP-D6,CP-D6-U01,SK-DE-B2,3,L2,2,Nacht,2026-07-19,bed,live
DEM-0080,CP,CP-D6,CP-D6-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,simulated
DEM-0081,CP,CP-D6,CP-D6-U02,SK-ACLS,3,L2,2,Nacht,2026-07-19,ops,live
DEM-0082,CP,CP-D6,CP-D6-U02,SK-ACLS,3,L2,2,Tag,2026-07-19,ops,live
DEM-0083,CP,CP-D6,CP-D6-U02,SK-TRIAGE,3,L1,2,Nacht,2026-07-19,bed,live
DEM-0084,CP,CP-D6,CP-D6-U02,SK-TRIAGE,3,L1,2,Tag,2026-07-19,bed,live
DEM-0085,CP,CP-D6,CP-D6-U02,SK-DE-B2,3,L2,2,Nacht,2026-07-19,bed,live
DEM-0086,CP,CP-D6,CP-D6-U02,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0087,CP,CP-D6,CP-D6-U03,SK-ACLS,3,L2,2,Nacht,2026-07-19,bed,live
DEM-0088,CP,CP-D6,CP-D6-U03,SK-ACLS,3,L2,2,Tag,2026-07-19,bed,live
DEM-0089,CP,CP-D7,CP-D7-U02,SK-SCRUB,3,L1,1,Tag,2026-07-19,bed,simulated
DEM-0090,CP,CP-D7,CP-D7-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0091,CP,CP-D8,CP-D8-U01,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,live
DEM-0092,CP,CP-D8,CP-D8-U01,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,simulated
DEM-0093,CP,CP-D8,CP-D8-U02,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,live
DEM-0094,CP,CP-D8,CP-D8-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0095,VT,VT-D2,VT-D2-U01,SK-OBST,3,L4,2,Tag,2026-07-19,bed,live
DEM-0096,VT,VT-D2,VT-D2-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0097,VT,VT-D3,VT-D3-U02,SK-SCRUB,3,L1,1,Tag,2026-07-19,bed,live
DEM-0098,VT,VT-D3,VT-D3-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0099,VT,VT-D4,VT-D4-U02,SK-SCRUB,3,L1,1,Tag,2026-07-19,bed,live
DEM-0100,VT,VT-D4,VT-D4-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
DEM-0101,VT,VT-D5,VT-D5-U01,SK-ACLS,3,L2,2,Nacht,2026-07-19,ops,live
DEM-0102,VT,VT-D5,VT-D5-U01,SK-ACLS,3,L2,2,Tag,2026-07-19,ops,live
DEM-0103,VT,VT-D5,VT-D5-U01,SK-TRIAGE,3,L1,2,Nacht,2026-07-19,bed,live
DEM-0104,VT,VT-D5,VT-D5-U01,SK-TRIAGE,3,L1,2,Tag,2026-07-19,bed,live
DEM-0105,VT,VT-D5,VT-D5-U01,SK-DE-B2,3,L2,2,Nacht,2026-07-19,bed,live
DEM-0106,VT,VT-D5,VT-D5-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,simulated
DEM-0107,VT,VT-D5,VT-D5-U02,SK-ACLS,3,L2,2,Nacht,2026-07-19,ops,live
DEM-0108,VT,VT-D5,VT-D5-U02,SK-ACLS,3,L2,2,Tag,2026-07-19,ops,live
DEM-0109,VT,VT-D5,VT-D5-U02,SK-TRIAGE,3,L1,2,Nacht,2026-07-19,bed,live
DEM-0110,VT,VT-D5,VT-D5-U02,SK-TRIAGE,3,L1,2,Tag,2026-07-19,bed,simulated
DEM-0111,VT,VT-D5,VT-D5-U02,SK-DE-B2,3,L2,2,Nacht,2026-07-19,bed,simulated
DEM-0112,VT,VT-D5,VT-D5-U02,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,simulated
DEM-0113,VT,VT-D6,VT-D6-U01,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0114,VT,VT-D6,VT-D6-U01,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,simulated
DEM-0115,VT,VT-D6,VT-D6-U01,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0116,VT,VT-D6,VT-D6-U01,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0117,VT,VT-D6,VT-D6-U01,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0118,VT,VT-D6,VT-D6-U01,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,simulated
DEM-0119,VT,VT-D6,VT-D6-U01,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0120,VT,VT-D6,VT-D6-U01,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,simulated
DEM-0121,VT,VT-D6,VT-D6-U02,SK-NDS-IPS,3,L3,3,Nacht,2026-07-19,bed,live
DEM-0122,VT,VT-D6,VT-D6-U02,SK-NDS-IPS,3,L3,3,Tag,2026-07-19,bed,live
DEM-0123,VT,VT-D6,VT-D6-U02,SK-VENT,3,L2,3,Nacht,2026-07-19,bed,live
DEM-0124,VT,VT-D6,VT-D6-U02,SK-VENT,3,L2,3,Tag,2026-07-19,bed,live
DEM-0125,VT,VT-D6,VT-D6-U02,SK-ACLS,3,L2,3,Nacht,2026-07-19,ops,live
DEM-0126,VT,VT-D6,VT-D6-U02,SK-ACLS,3,L2,3,Tag,2026-07-19,ops,simulated
DEM-0127,VT,VT-D6,VT-D6-U02,SK-DE-B2,3,L2,3,Nacht,2026-07-19,bed,simulated
DEM-0128,VT,VT-D6,VT-D6-U02,SK-DE-B2,3,L2,3,Tag,2026-07-19,bed,live
DEM-0129,VT,VT-D7,VT-D7-U01,SK-DIAL,3,L2,2,Tag,2026-07-19,bed,live
DEM-0130,VT,VT-D7,VT-D7-U01,SK-DE-B2,3,L2,2,Tag,2026-07-19,bed,live
DEM-0131,VT,VT-D8,VT-D8-U01,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,live
DEM-0132,VT,VT-D8,VT-D8-U01,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,simulated
DEM-0133,VT,VT-D8,VT-D8-U02,SK-RADPROT,3,L2,1,Tag,2026-07-19,bed,live
DEM-0134,VT,VT-D8,VT-D8-U02,SK-DE-B2,3,L2,1,Tag,2026-07-19,bed,live
